text,text_cleaned,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate
Đừng cố biện minh =)))) choi lon,đừng cố biện_minh choi lon,5,0,CLEAN,2,0,1,0.991,0.0034,0.991,0.0056
(Y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,y_page này admin nó kiến_thức uyên_sâu lắm từ xây_dựng tài_chính y_tế cái gì n cũng am_hiểu ngu dốt nhiệt_tình phá_hoại không sai bh,23,2,HATE,2,2,0,0.9462,0.9462,0.0098,0.044
Chán thực sự =))),chán thực_sự,2,0,CLEAN,0,0,1,0.9736,0.0225,0.9736,0.004
Mấy ông sống nhanh thế =))),mấy ông sống nhanh thế,5,0,CLEAN,0,0,2,0.9268,0.066,0.0071,0.9268
Mông lung như 1 trò đùa,mông lung_như 1 trò đùa,5,0,CLEAN,0,0,1,0.9913,0.0047,0.9913,0.004
GAM thua cái củ cặc nhé !!,gam thua cái củ cặc nhé,6,1,OFFENSIVE,2,1,2,0.9341,0.01,0.0559,0.9341
Trời má khúc này lúc xem phim t khóc quá trời mà thấy ảnh này cái hết muốn xem cmnl,trời má khúc này lúc xem phim tao khóc quá_trời mà thấy ảnh này cái hết muốn xem cmnl,19,0,CLEAN,0,0,1,0.5138,0.4813,0.5138,0.005
"Dân không có giàu nhé, chỉ nó nước mạnh thôi.",dân không có giàu nhé chỉ nó nước mạnh thôi,10,2,HATE,2,2,0,0.8152,0.8152,0.0568,0.128
Cái mặt là nhìn dell ưa nổi với bị nứng lâu năm,cái mặt là nhìn dell_ưa nổi với bị nứng lâu năm,11,2,HATE,1,2,1,0.992,0.0029,0.992,0.0051
CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,co thă ng thông tha_o 29 thư_tiê ng_la mày chu_ti ch pă c po,14,2,HATE,2,2,0,0.9385,0.9385,0.0166,0.0448
Cay vl nhỉ kk,cay vãi nhỉ kk,4,1,OFFENSIVE,1,1,0,0.8381,0.8381,0.1581,0.0038
Bao giờ chết,bao_giờ chết,2,1,OFFENSIVE,0,1,0,0.9962,0.9962,0.002,0.0018
Diệp Bích ái Nguyễn Ái Băng coi Diệp nó láo cá nè Băng🤣🤣🤣,diệp bích_ái nguyễn_ái_băng coi diệp nó láo cá nè băng,10,0,CLEAN,0,0,2,0.9872,0.0093,0.0035,0.9872
Tiếu lâm thời đại 4.0,tiếu lâm_thời_đại 4 0,4,0,CLEAN,0,0,2,0.781,0.2049,0.0141,0.781
Chán thế,chán thế,2,0,CLEAN,1,0,1,0.7811,0.211,0.7811,0.0079
"CS miệng và đít chúng là một chỗ. Một chế độ thổ tả không còn sửa sai được nữa, mà phải thay đổi với một chế độ khác. Sống với CS mà không biết gì về thủ đoạn của bọn chúng là không có cái đầu.",có miê ng va đi tao chu_ng la_mô tao chô mô tao chê_đô thô ta không co n_sư anh sai đươ c nư anh ma pha i thay đô i_vơ i mô tao chê_đô kha_c sô ng_vơ i có ma không biê tao gi vê thu đoa n cu anh bo_n chu_ng la không co_ca i đâ_u,57,2,HATE,2,2,0,0.7231,0.7231,0.0814,0.1955
"Mọi người quá lịch sự với tên khốn này rồi , cha đứa bé bị đánh nên ra tay cho nó thành tật đi đừng hi vọng nhiều ở luật pháp.",mọi người qua lịch_sư với tên khốn_này rồi cha đứa be bị đánh nên ra_tay cho nó thành tâ tao đi đừng hi_vọng nhiều ở luật pha p,28,2,HATE,2,2,0,0.893,0.893,0.0085,0.0985
"anh Trung đập thẻ , anh Trung phá sản :)))",anh trung_đập thẻ anh trung_phá sản,6,0,CLEAN,0,0,2,0.9595,0.0358,0.0047,0.9595
Thiên đường xhcn là cái gì mà sao từ trước đến h mình chưa đọc ở trang sách nào nhỉ,thiên_đường xhcn là cái gì mà sao từ trước đến giờ mình chưa đọc ở trang sách nào nhỉ,19,0,CLEAN,0,0,2,0.762,0.2112,0.0268,0.762
Tủnn Tủnn đú vcl =)),tủnn tủnn đú vãi,4,1,OFFENSIVE,1,1,2,0.989,0.0051,0.0059,0.989
"Chat la kiep truoc bi cam, 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏toi ngiep cho mu nay qua ko biet kiep sao thanh loai gi nua 🙏🙏🙏🙏",chat la_kiep truoc bi_cam toi ngiep cho mu nay qua không biet kiep sao thanh_loai gi_nua,16,2,HATE,0,2,0,0.884,0.884,0.0898,0.0262
Ma mày đau ma mày đau bóp cu ba may sung con cười muốn chết luôn co kim oi,ma mày đau ma mày đau bóp cu ba may_sung con cười muốn chết luôn co_kim oi,17,2,HATE,2,2,0,0.9711,0.9711,0.0112,0.0176
Anh tôi như khỉ đột vậy :)),anh tôi như khỉ đột_vậy,5,0,CLEAN,0,0,2,0.9374,0.0551,0.0075,0.9374
Gai tre,gai tre,2,0,CLEAN,0,0,1,0.9619,0.0311,0.9619,0.007
Chi oi chi chua gap bac ky dau .chi ma gap roi chi khong con kip keu mot tieng troi dau chi ak.it nhat chi cung nghi den nguoi nha chi chu.chi o dai loan ma chi dang noi tieng viet ma .chi tu chui minh thoi.nguoi ta khong xem chi ra ji nen nguoi ta goi noi vay thay loi xi nhuc do.,chi oi chi chua gap bac ky dau chi ma gap roi chi không con kip keu mot tieng troi dau chi ak it nhat chi cung_nghi den nguoi_nha chi chu_chi o dai_loan ma chi dang noi tieng viet ma chi_tu chui_minh thoi nguoi ta không xem chi ra gì nen nguoi ta goi noi vay thay loi xi_nhuc do,60,2,HATE,0,2,0,0.949,0.949,0.0068,0.0443
May bede ma rau thay on,may bede ma rau thay on,6,0,CLEAN,0,0,2,0.9858,0.0095,0.0047,0.9858
Đẳng cấp đấy nhưng ý thức hơi kém,đẳng_cấp đấy nhưng ý_thức hơi kém,6,1,OFFENSIVE,1,1,0,0.8763,0.8763,0.1146,0.0091
