sample_id,source_subset,test_idx,text,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_confidence,sarcasm,code_switching,teen_code,implicit_contextual,annotation_doubt,very_short,long_context,no_toxic_vocab,notes
0,D_all_wrong,3833,Tại sao những đứa như này lại tồn tại trong khi những người tốt thì lại bị tan nạn & mất mạng vì lũ lụt mà méo do thiên tai gây ra nhể ???,27,1,OFFENSIVE,2,2,2,0.9793,0,0,0,1,1,0,0,1,
1,D_all_wrong,6436,Đậu má thầy ok chưa ?,5,2,HATE,0,0,0,0.9965,0,0,1,0,1,0,0,0,"""đậu má"" = lái của ""đm"", model miss obfuscation"
2,D_all_wrong,5886,Dành cho lũ quan ngại,4,2,HATE,0,1,0,0.9736,0,0,0,1,1,0,0,1,"""lũ"" miệt thị tập thể, không chửi tục; HATE quá nặng"
3,D_all_wrong,1888,Giống loài Loan luân la vây,6,2,HATE,0,1,0,0.5139,0,0,0,1,1,0,0,1,
4,D_all_wrong,6509,Phạm Văn Lộc vãi lol lộc,4,2,HATE,1,1,1,0.9819,0,0,1,0,0,0,0,0,
5,D_all_wrong,1601,T cố gắng nghe hết nhưng đâu tai thật sự,7,1,OFFENSIVE,0,0,0,0.9963,0,0,0,0,0,0,0,1,"phàn nàn âm thanh, không toxic; label sai"
6,D_all_wrong,2617,Biết là Nhật cũng có người này người kia nhưng chú bao nhiêu tuổi rồi mà hành động ấu trĩ như thế 😖😖😖,19,2,HATE,0,0,0,0.8828,0,0,0,0,1,0,0,1,
7,D_all_wrong,6636,"Đưa từ vụ bán độ lịch sử 4 cái tàu choán nước hơn nghìn tấn,ngắm bắn bằng radar,F5 thì đậu chật kín đà nẵng,hải quân hạng 6,không quân hạng 4 thế giới,hùng hổ ra trận bắn lẫn nhau rồi bị mấy cái tầu cởi chuồng từ ww2 hiếp dâm chết :v",47,0,CLEAN,2,2,2,0.9823,0,0,0,0,0,0,1,1,
8,D_all_wrong,4098,Quan chức lương thì cũng như ta thôi. Nhưng ng nào ng nấy khi lên làm quan toàn nhà lầu xe hơi. Lạ.,18,2,HATE,1,1,1,0.956,1,0,0,0,1,0,0,1,
9,D_all_wrong,3176,"Úi  trời. Tiên tri Trần  dần  HÙI  xưa CHẮC  ở  gần  kho đạn  long bình  hôn ma nỗ  dữ  QUÁ  vậy dẫu sao cũng cảm  ơn vũ hoang Lânđã  mời VÀ  phỏng vấn  trần  dần,hài  ui quá!.tĩnh cả  ngủ uôn.hoàng  lân khôn bo MẸ. Toàn  khích cho dân6nỗ  chi mọi  người  vui kkk",66,0,CLEAN,2,2,2,0.9569,0,0,0,0,0,0,1,1,
10,D_all_wrong,6559,Quen lối sống hùa bầy đàng. Mỗi người Viet chúng ta trước khi làm việc gì hãy dùng cái đầu để suy nghĩ.,19,2,HATE,0,0,0,0.8471,1,0,0,0,1,0,0,1,
11,D_all_wrong,4521,đíu tin được luôn =)))))))),4,0,CLEAN,1,1,1,0.9924,0,0,1,0,1,1,0,0,
12,D_all_wrong,3635,Bảo vệ thì ăn chia rồi. Còn lãnh đạo trường thì đang cố giấu!,11,2,HATE,0,0,0,0.9943,0,0,0,1,1,0,0,1,
13,D_all_wrong,960,Công nghệ xây cầu mới của đảng và nhà nước ta đấy! Thế giới chưa nước nào có đâu,16,1,OFFENSIVE,2,2,0,0.9804,0,0,0,0,1,0,0,1,
14,D_all_wrong,112,Nghĩ mà chán :)),3,0,CLEAN,1,1,1,0.5279,0,0,0,1,1,1,0,1,
15,D_all_wrong,4077,Hương Thảo vkl,2,2,HATE,0,0,0,0.9932,0,0,1,1,1,1,0,0,
16,D_all_wrong,886,Lol này cây vô đầu nó mới sợ :),7,0,CLEAN,2,2,2,0.9906,0,0,1,1,1,0,0,0,
17,D_all_wrong,360,90tr dân Việt Nam đang vả nhung nè,7,2,HATE,0,0,0,0.6819,0,0,0,1,1,0,0,0,
18,D_all_wrong,2372,Người j đâu mà chưởi người Việt NAM MÌNH trưởi người ta quá trời ĐÚNG LÀ BÃ CHƯA THẤY QUAN TÀI CHƯA ĐỔ LỆ,21,2,HATE,0,0,0,0.9886,0,0,0,1,1,0,0,1,
19,D_all_wrong,2505,Giàu thường hay quên cách ăn mặc á :)),7,1,OFFENSIVE,0,0,0,0.914,1,0,0,1,0,0,0,1,
20,D_all_wrong,2893,Có những đứa còn chửi kinh hơn cả page này nữa 😒 vkl xúc phạm tôn giáo còn cãi cố,15,0,CLEAN,2,2,2,0.9897,0,0,1,1,1,0,0,0,
21,D_all_wrong,2689,"nhìn mặt Admin thấy ghét, không ưa! :D :D :D",10,0,CLEAN,2,2,2,0.9651,0,0,0,1,1,0,0,0,
22,D_all_wrong,3534,Nhạc bắt tay vai lon,4,0,CLEAN,1,1,1,0.9917,0,0,0,0,1,1,0,0,
23,D_all_wrong,2683,Đi làm osin mà xạo lol ghê,7,2,HATE,1,1,1,0.9924,0,0,1,1,1,0,0,0,
24,D_all_wrong,1545,"Lên núi làm hảo hán, cướp của quan tham chia cho dân nghèo. Về đầu thú là tội chết.",15,1,OFFENSIVE,2,0,2,0.5343,0,0,0,1,1,0,0,1,
25,D_all_wrong,3209,Vải lờ thầy😂😂😂,3,0,CLEAN,2,2,2,0.9901,0,0,1,0,1,1,0,0,
