text,text_cleaned,length,true_label,true_name,lr_pred,lr_conf,bilstm_pred,bilstm_conf,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate,lr_correct,bilstm_correct,phobert_correct
Nguc em hoi nho,nguc em_hoi nho,3,1,OFFENSIVE,0,0.9674,0,0.5586,0,0.9967,0.9967,0.0015,0.0018,False,False,False
"Tìm chó thất lạc đặc điểm""cực kì thuyết phục""",tìm chó thất_lạc đặc_điểm cực_kì thuyết_phục,6,1,OFFENSIVE,0,0.9752,0,0.7773,0,0.9967,0.9967,0.0016,0.0018,False,False,False
And DLV come in 3...2...,and dlv come in 3 2,6,2,HATE,0,0.7756,0,0.7994,0,0.9966,0.9966,0.0013,0.0022,False,False,False
Cô mina dễ thương hơn ml của thầy 😀,cô mina dễ_thương hơn ml của thầy,7,2,HATE,0,0.9184,0,0.9752,0,0.9966,0.9966,0.0014,0.002,False,False,False
Da bao dung nghe cs noi !!!,da bao_dung nghe có noi,5,2,HATE,0,0.9138,0,0.7408,0,0.9965,0.9965,0.0018,0.0017,False,False,False
Đậu má thầy ok chưa ?,đậu má thầy đồng_ý chưa,5,1,OFFENSIVE,0,0.9442,0,0.9748,0,0.9965,0.9965,0.0018,0.0017,False,False,False
Anh em yếu sly ib,anh_em yếu sly ib,4,1,OFFENSIVE,0,0.996,0,0.9666,0,0.9965,0.9965,0.0014,0.0021,False,False,False
Bài nào cũng cmt nhưng vẫn đ đc fan cứng 🤦‍♀️,bài nào cũng comment nhưng vẫn đ được fan cứng,10,1,OFFENSIVE,0,0.9543,0,0.7517,0,0.9965,0.9965,0.0017,0.0018,False,False,False
Bài mai dù,bài mai dù,3,1,OFFENSIVE,0,0.9894,0,0.8242,0,0.9965,0.9965,0.0018,0.0017,False,False,False
"Hoàng Văn nếu là nhà tài trợ thưởng thì ko mất thuế,nhưng sợ ko biết có tới tay mấy e đc ko nè",hoàng_văn nếu là nhà_tài_trợ thưởng thì không mất thuế nhưng sợ không biết có tới tay mấy em được không nè,21,2,HATE,0,0.9854,0,0.4156,0,0.9965,0.9965,0.0014,0.0021,False,False,False
Cám ơn đảng. Cám ơn nhà nc 😏,cám_ơn đảng cám_ơn nhà nc,5,2,HATE,0,0.9157,0,0.7827,0,0.9965,0.9965,0.0014,0.002,False,False,False
Đậu má thầy ok chưa ?,đậu má thầy đồng_ý chưa,5,2,HATE,0,0.9442,0,0.9748,0,0.9965,0.9965,0.0018,0.0017,False,False,False
Sao giờ nhiều chương trình nhố nhăng thế khg biết,sao giờ nhiều chương_trình nhố nhăng_thế không biết,8,2,HATE,0,0.7992,0,0.9185,0,0.9964,0.9964,0.0019,0.0017,False,False,False
Quá đáng vl anh ơi ngồi nấu mì ăn xem review thịt trâu:((,quá đáng vãi anh ơi ngồi nấu mì ăn xem review thịt trâu,13,1,OFFENSIVE,0,0.8963,0,0.8867,0,0.9964,0.9964,0.0017,0.0019,False,False,False
Thôi anh ơi chuẩn bị về mở tiệm bánh tráng là được rồi,thôi anh ơi chuẩn_bị về mở tiệm bánh_tráng là được rồi,11,2,HATE,0,0.9249,0,0.9834,0,0.9964,0.9964,0.0015,0.0021,False,False,False
Rank Việt Nam mà yasuo tt6 tt5 thì del phải người Việt Nam r,rank việt_nam mà yasuo tt6 tt5 thì del phải người việt_nam rồi,12,1,OFFENSIVE,0,0.9144,0,0.702,0,0.9964,0.9964,0.0014,0.0022,False,False,False
chú nói cả dân tộc việt nam cùng đồng lòng nhưng nhung thì không,chú nói cả dân_tộc việt_nam cùng đồng_lòng nhưng nhung thì không,11,2,HATE,0,0.9309,0,0.743,0,0.9964,0.9964,0.0013,0.0022,False,False,False
