text,text_cleaned,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate
the nay ma chi phat gay roi trat tu cong cong thoi a dung la dan minh,the nay ma chi phat gay_roi trat_tu cong_cong thoi anh dung_la dan_minh,12,0,CLEAN,0,0,0,0.992,0.992,0.0034,0.0045
Mua cho em hộp bcs mĩ sài cho oai :)),mua cho em hộp bcs mĩ_sài cho oai,8,0,CLEAN,0,0,0,0.9948,0.9948,0.0026,0.0026
K có điểm dừng luôn hả trời ☹️☹️☹️,không có điểm dừng luôn hả trời,7,0,CLEAN,0,0,0,0.9959,0.9959,0.0019,0.0022
cái gì thế :)),cái gì thế,3,0,CLEAN,0,0,0,0.9959,0.9959,0.0025,0.0017
Chi ba Chui hay qua,chi ba chui hay qua,5,0,CLEAN,0,0,0,0.9966,0.9966,0.0014,0.002
Lê Văn Quật xin vid ông,lê văn_quật xin vid ông,5,0,CLEAN,0,0,0,0.9967,0.9967,0.0014,0.0018
À thì ra người Nhật cũng chẳng hợn Võ Hồng Tâm,à thì_ra người nhật cũng chẳng hợn võ_hồng tâm,9,0,CLEAN,0,0,0,0.9964,0.9964,0.0013,0.0023
Thầy trêu ổng cho lắm vào bị thế là đúng r,thầy trêu ổng cho lắm vào bị thế_là đúng rồi,10,0,CLEAN,0,0,0,0.9963,0.9963,0.0017,0.002
Ôi tuổi thơ,ôi tuổi_thơ,2,0,CLEAN,0,0,0,0.9963,0.9963,0.0019,0.0018
Đc đấy abe,được đấy abe,3,0,CLEAN,0,0,0,0.9964,0.9964,0.0019,0.0017
Hóng phần 2 của hài hải ngoại của anh Ba tại Lasvegas,hóng phần 2 của hài_hải_ngoại của anh ba tại lasvegas,10,0,CLEAN,0,0,0,0.9963,0.9963,0.0013,0.0024
Amen ông vẫn khỏe Idol của tui,amen ông vẫn khỏe_idol của tui,6,0,CLEAN,0,0,0,0.9967,0.9967,0.0014,0.0019
A kể chuyện n lại hay vl 😂,anh kể chuyện n lại hay vãi,7,0,CLEAN,0,0,0,0.9951,0.9951,0.003,0.0019
Hoàng Yến fan cứng độ mixi thì đi ăn lẩu phan thôi =)))))))))))),hoàng yến fan cứng_độ mixi thì đi ăn_lẩu phan_thôi,9,0,CLEAN,0,0,0,0.9964,0.9964,0.0015,0.0021
From Bình Phước <3,from bình_phước 3,3,0,CLEAN,0,0,0,0.9967,0.9967,0.0015,0.0018
Mong thầy chỉ đóng mv thôi :v,mong thầy chỉ đóng mv thôi vậy,7,0,CLEAN,0,0,0,0.9955,0.9955,0.0013,0.0032
Tấu hài 😂😂,tấu hài,2,0,CLEAN,0,0,0,0.9949,0.9949,0.0033,0.0018
@Anh Nguyen Tuan Đúng rồi hihi,anh nguyen tuan đúng rồi vui,6,0,CLEAN,0,0,0,0.9967,0.9967,0.0014,0.0018
Doi truong cao bang,doi truong cao_bang,3,0,CLEAN,0,0,0,0.9954,0.9954,0.0019,0.0026
Alex Dương thiệt luôn 😤,alex dương_thiệt luôn,3,0,CLEAN,0,0,0,0.9965,0.9965,0.0018,0.0017
Lê Khánh An kệ ng ta việc nhà mik là giữ top🙂,lê khánh_an kệ ng ta việc nhà mình là giữ top,11,0,CLEAN,0,0,0,0.9966,0.9966,0.0016,0.0018
"Cô nói chuyện tự nhiên, dễ thuơng xem thích ghê",cô nói_chuyện tự_nhiên dễ_thương xem thích ghê,7,0,CLEAN,0,0,0,0.9966,0.9966,0.0018,0.0017
Hanh Viet hết cái bọn cực kì thuyết phục bây giờ lại đến bọn : “ Ở nhà giúp mẹ giúp cha.... “ Xàm lol như nhau cả thôi,hanh viet hết cái bọn cực_kì thuyết_phục bây_giờ lại đến bọn ở nhà giúp mẹ giúp cha xàm_lol như nhau cả thôi,22,2,HATE,2,2,2,0.9905,0.0051,0.0044,0.9905
yêu thầyyyy nhiềuuuu,yêu thầyy nhiềuu,3,0,CLEAN,0,0,0,0.9966,0.9966,0.0014,0.002
Sói said: “ Daddy finger Where are you?” “Here i am! “ =)),sói said daddy finger where are you here i am,10,0,CLEAN,0,0,0,0.9967,0.9967,0.0014,0.0018
Phét,phét,1,0,CLEAN,0,0,0,0.9946,0.9946,0.0037,0.0017
Buồn cười,buồn cười,2,0,CLEAN,0,0,0,0.9963,0.9963,0.002,0.0017
Giống:v,giống vậy,2,0,CLEAN,0,0,0,0.996,0.996,0.0023,0.0017
Thầy tự đạp đổ chén cơm chứ ai thèm cướp :) Đang yên đang lành tự nhiên gáy đấy chứ :3,thầy tự đạp đổ chén cơm chứ ai thèm cướp đang yên đang lành_tự_nhiên gáy đấy chứ 3,18,0,CLEAN,0,0,0,0.9956,0.9956,0.0022,0.0022
Đẹp trai quá abe ơi,đẹp trai quá abe ơi,5,0,CLEAN,0,0,0,0.9965,0.9965,0.0016,0.002
Chi Ba và Hiếu Minh 2 người thương nhau như chị em ruột; Hiếu minh quay clip nhận quà của chị Ba cho quá trời luôn. Hiếu Minh còn hứa cho chị Ba 1 miếng đất và sợi dây chuyền 10 cây nữa mà. Hứa là nhớ giữ lời đó.Đúng là sống với nhau bằng tình nghĩa chân thật.,chi ba và hiếu_minh 2 người thương nhau như chị_em ruột hiếu_minh quay clip nhận quà của chị ba cho quá trời luôn hiếu_minh còn hứa cho chị ba 1 miếng đất và sợi dây_chuyền 10 cây nữa mà hứa là nhớ giữ lời đó đúng là sống với nhau bằng tình_nghĩa chân_thật,53,0,CLEAN,0,0,0,0.9965,0.9965,0.0016,0.0019
Nguyễn thị tươi thắm đó bạn,nguyễn_thị tươi_thắm đó bạn,4,0,CLEAN,0,0,0,0.9965,0.9965,0.0018,0.0018
Ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm cho,ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm cho,15,0,CLEAN,0,0,0,0.9966,0.9966,0.0017,0.0017
Cảm ơn thầy ba,cảm_ơn thầy ba,3,0,CLEAN,0,0,0,0.9967,0.9967,0.0015,0.0019
Thích nhất bài chiếc khăn gió ấm 🌬,thích nhất bài chiếc khăn gió ấm,7,0,CLEAN,0,0,0,0.9966,0.9966,0.0015,0.0019
LKC tập này xinh thực sự...,lkc tập này xinh_thực_sự,4,0,CLEAN,0,0,0,0.9964,0.9964,0.0016,0.0021
Sela kit clear petland phụ đạo để abe làm hết😎,sela kit clear petland phụ_đạo để abe làm hết,9,0,CLEAN,0,0,0,0.9957,0.9957,0.0014,0.0029
Nguyễn Ngọc Linh xét nghiệm mất 10 tiếng mới có kp.ai rảnh để xếp hàng đợi 10 tiếng mới được hiến máu đâu,nguyễn ngọc_linh xét_nghiệm mất 10 tiếng mới có kp ai rảnh để xếp_hàng đợi 10 tiếng mới được hiến máu đâu,21,0,CLEAN,0,0,0,0.9961,0.9961,0.0017,0.0021
Toàn thánh phán,toàn thánh_phán,2,0,CLEAN,0,0,0,0.9955,0.9955,0.0025,0.002
Tết đi sắm đồ tết,tết đi sắm đồ tết,5,0,CLEAN,0,0,0,0.9963,0.9963,0.0019,0.0017
Aba hát hay quá!!! Nghe xong xỉu luôn,aba hát hay quá nghe xong xỉu luôn,8,0,CLEAN,0,0,0,0.9964,0.9964,0.0015,0.0021
Sếp người ta 😞,sếp người ta,3,0,CLEAN,0,0,0,0.9965,0.9965,0.0017,0.0018
Hữu Nghĩa cánh hoa :>,hữu_nghĩa cánh hoa,3,0,CLEAN,0,0,0,0.9923,0.9923,0.006,0.0017
91652062,91652062,1,0,CLEAN,0,0,0,0.9959,0.9959,0.0023,0.0018
Sếp ở đâu v ?!,sếp ở đâu vậy,4,0,CLEAN,0,0,0,0.9966,0.9966,0.0014,0.002
Ôi bố cái lũ thanh niên hãm lol. Đẹp mặt quá 😒😒,ôi bố cái lũ thanh_niên hãm_lol đẹp mặt quá,9,2,HATE,2,2,2,0.9901,0.0058,0.0041,0.9901
Hiền Hiền trời đất ôi chị em,hiền_hiền trời_đất ôi chị_em,4,0,CLEAN,0,0,0,0.9967,0.9967,0.0014,0.0018
Duy Linh mình ra sân bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu trang thôi 😂,duy_linh mình ra sân_bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu_trang thôi,19,0,CLEAN,0,0,0,0.9965,0.9965,0.0014,0.0021
Nặc Na t cũng ko bt nữa😁,nặc na_tao cũng không bình_thường nữa,6,0,CLEAN,0,0,0,0.9933,0.9933,0.0022,0.0045
"dấu hậu cần kìa, nội bộ thôi",dấu hậu_cần kìa nội_bộ thôi,5,0,CLEAN,0,0,0,0.996,0.996,0.0024,0.0016
"RIết thằng ad chửi nhảm quá, cp1 gì thì chửi bệnh viện. Lôi cả cái đất nước vào làm gì :))",riết thằng admin chửi nhảm quá cp1 gì thì chửi bệnh_viện lôi cả cái đất_nước vào làm gì,18,2,HATE,2,2,2,0.9902,0.0053,0.0045,0.9902
Chúc mừng idol :)),chúc_mừng idol,2,0,CLEAN,0,0,0,0.9963,0.9963,0.0019,0.0018
Vy Vy 😆😆,vy vy,2,0,CLEAN,0,0,0,0.9963,0.9963,0.0019,0.0018
Tao bó tay.....:v,tao bó_tay vậy,3,0,CLEAN,0,0,0,0.9962,0.9962,0.0019,0.0018
Tết có hay không quan trọng nhất vẫn là do anh thợ cắt tóc Tò Phạm :)),tết có hay không quan_trọng nhất vẫn là do anh thợ cắt tóc tò_phạm,14,0,CLEAN,0,0,0,0.9961,0.9961,0.0017,0.0023
Ai mua cốc với tui hemmm,ai mua_cốc với tui hem,5,0,CLEAN,0,0,0,0.9967,0.9967,0.0016,0.0017
Baroibeo đi ngủ r,baroibeo đi ngủ rồi,4,0,CLEAN,0,0,0,0.9964,0.9964,0.0015,0.002
Đọc rất diễn cảm 10 điểm về chỗ,đọc rất diễn_cảm 10 điểm về chỗ,7,0,CLEAN,0,0,0,0.9965,0.9965,0.0016,0.0018
3 que nên xem khúc này nhá 35:30,3 que nên xem khúc này nhá 35 30,9,0,CLEAN,0,0,0,0.9963,0.9963,0.0015,0.0022
cô dễ thương quá trời ơi,cô dễ_thương quá trời ơi,5,0,CLEAN,0,0,0,0.9966,0.9966,0.0015,0.0019
ủa cho hỏi Minh Hiếu là gái thiệt hay là từ trai sang gái ??? Tại hỏng biết,ủa cho hỏi minh_hiếu là gái thiệt hay_là từ trai sang gái tại hỏng biết,15,0,CLEAN,0,0,0,0.9952,0.9952,0.0028,0.002
Cô Hiếu duyên quá,cô hiếu_duyên quá,3,0,CLEAN,0,0,0,0.9967,0.9967,0.0016,0.0017
Đạt Royal Bác thật có con mắt tinh đời,đạt royal bác thật có con mắt tinh_đời,8,0,CLEAN,0,0,0,0.9964,0.9964,0.0015,0.0021
"Replay thấy mắc mệt, vote đổi ông edit",replay thấy mắc mệt_vote đổi ông edit,7,0,CLEAN,0,0,0,0.9961,0.9961,0.002,0.002
Cậu vàng đi rồi abe ơi huhu,cậu vàng đi rồi abe ơi buồn,7,0,CLEAN,0,0,0,0.9964,0.9964,0.0013,0.0023
Chao anh,chao anh,2,0,CLEAN,0,0,0,0.9966,0.9966,0.0016,0.0017
"@Thanh Điệp Phan có lý, làm gì có ai vừa chống CS mà vừa chửi ông trump",thanh_điệp phan có_lý làm_gì có ai vừa chống có mà vừa chửi ông trump,14,0,CLEAN,0,0,0,0.9926,0.9926,0.0034,0.004
Cực kỳ thuyết phục🙂,cực_kỳ thuyết_phục,2,0,CLEAN,0,0,0,0.9964,0.9964,0.0018,0.0018
tương lai mong sao tùng xẽ ko chịu hiểm hoạ chụp ảnh tự sướng như anh độ ngày xưa😅,tương_lai mong sao_tùng xẽ không chịu hiểm_họa chụp ảnh tự_sướng như anh độ ngày_xưa,14,0,CLEAN,0,0,0,0.9963,0.9963,0.0014,0.0023
