text,text_cleaned,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate
coin card :3,coin card 3,3,1,OFFENSIVE,0,0,0,0.9963,0.9963,0.0018,0.0019
"Lý khùng thì có,kk",lý khùng thì có kk,5,0,CLEAN,1,1,1,0.9858,0.0096,0.9858,0.0046
"Đề nghị 17, 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách ly thế giới hẳn đi.",đề_nghị 17 22 23 32 đến phà vài hơi vào mẹt tk này để nó đi cách_ly thế_giới hẳn đi,20,2,HATE,0,1,0,0.7091,0.7091,0.012,0.2789
Trần Linh dell hiểu kiểu gì :)),trần linh_dell hiểu kiểu gì,5,1,OFFENSIVE,0,0,0,0.7685,0.7685,0.2051,0.0265
Nguyễn Thị Thủy chó con chứ dúi đâu ra,nguyễn_thị_thủy chó con chứ dúi đâu ra,7,0,CLEAN,2,2,1,0.8647,0.1123,0.8647,0.023
Đập què giò đi a ba,đập què giò đi anh ba,6,0,CLEAN,2,2,2,0.5262,0.4297,0.0442,0.5262
"Chi bà nhiều tiền thì đi làm từ thiện,còn ơ đó nói tục tiểu, giơ bẩn. Làm nhục người vn trên thế giới. Làm bai hoại nền văn hóa vn. Xin yêu các cấp có thẩm quyền vào cuộc sử lý.",chi bà nhiều tiền thì đi làm từ_thiện còn ơ đó nói_tục tiểu_giơ bẩn làm_nhục người vn trên thế_giới làm bai_hoại nền văn_hóa vn xin yêu các cấp có thẩm_quyền vào_cuộc sử_lý,32,0,CLEAN,2,2,2,0.9899,0.0063,0.0038,0.9899
Một  phút  bóc  đồng  bằng  cả  đời  bóc  cức  😂,một phút bóc đồng_bằng cả đời bóc cức,8,1,OFFENSIVE,2,0,0,0.9114,0.9114,0.0823,0.0063
Bà này nói đúng mà     bà đó  đi làm o sin gửi tiền đô về Việt Nam hưởng chứ tiền Việt Nam lam gì có giá trị  tuy bà nói chuyện thô lỗ tí nhưng mà bà nói đúng mà...,bà này nói đúng mà bà đó đi làm o_sin gửi tiền_đô về việt_nam hưởng chứ tiền việt_nam lam_gì có giá_trị tuy bà nói_chuyện thô_lỗ tí nhưng_mà bà nói đúng mà,31,0,CLEAN,2,2,2,0.9731,0.022,0.0049,0.9731
Trước sau j cũng đi theo phúc xạo lol,trước_sau gì cũng đi theo phúc_xạo lol,7,2,HATE,1,1,1,0.9583,0.0027,0.9583,0.039
Nghĩ mà chán :)),nghĩ mà chán,3,0,CLEAN,1,1,1,0.5279,0.4668,0.5279,0.0053
Đem ra bắn ngay cái thể loại ấy,đem ra bắn ngay cái thể_loại ấy,7,2,HATE,1,1,1,0.992,0.0044,0.992,0.0036
hóng bro tét đít thằng tùng,hóng bro tét đít thằng tùng,6,0,CLEAN,2,2,2,0.494,0.4774,0.0285,0.494
Vay về cho cán bộ xây biệt thự con em đi du học,vay về cho cán_bộ xây biệt_thự con_em đi du_học,9,0,CLEAN,1,1,1,0.9858,0.0065,0.9858,0.0077
Con bóng??,con bóng,2,0,CLEAN,1,1,2,0.9869,0.0069,0.0062,0.9869
Bàn tay em đẹp quá. Nhìn chị là đàn bà mà xấu quá..,bàn_tay em đẹp quá nhìn chị là đàn_bà mà xấu quá,11,2,HATE,0,0,0,0.9744,0.9744,0.0038,0.0219
Lại thêm một con khoác lác,lại thêm một con khoác lác,6,0,CLEAN,2,2,2,0.9905,0.005,0.0045,0.9905
Like 10 năm chất Liek bằng đầu bùi,like 10 năm chất liek bằng đầu bùi,8,1,OFFENSIVE,0,0,0,0.9962,0.9962,0.0017,0.0022
Không có csgt nào tốt cả .,không có csgt nào tốt cả,6,2,HATE,0,0,0,0.9625,0.9625,0.0123,0.0252
Lũlên mạng lừa đão,lũlên mạng lừa đão,4,2,HATE,0,0,1,0.9271,0.0674,0.9271,0.0054
"trung quốc sản sinh ra 1 thế hệ bác sỹ thật sự có tâm đức, dù truyền thông phương tây có bôi nhọ tnao thì cũng k thể phủ nhận",trung_quốc_sản sinh ra 1 thế_hệ bác_sỹ thật_sự có tâm_đức dù truyền_thông phương_tây có bôi nhọ_tnao thì cũng không_thể phủ_nhận,19,0,CLEAN,2,2,2,0.8248,0.1644,0.0108,0.8248
Đậu rồi má hay đậu má rồi các bạn nhỏ ??? :))),đậu rồi má hay đậu má rồi các bạn nhỏ,10,1,OFFENSIVE,0,0,0,0.9962,0.9962,0.0017,0.002
K có nghìn nào giúp dân thì nín đi!,không có nghìn nào giúp dân thì nín đi,9,2,HATE,0,1,0,0.937,0.937,0.0492,0.0138
Ko xin nó thì đái ra mà hết hạn hán nhé,không xin nó thì đái ra mà hết hạn_hán nhé,10,2,HATE,1,1,1,0.9861,0.0084,0.9861,0.0055
Nguc em hoi nho,nguc em_hoi nho,3,1,OFFENSIVE,0,0,0,0.9967,0.9967,0.0015,0.0018
200.000 hộp thuốc giết người.,200 0 hộp thuốc giết người,6,1,OFFENSIVE,0,0,0,0.987,0.987,0.0076,0.0054
"Báo bọn phản động đấy bà con, những người kia bị kích động muốn chung ta cũng kíchđộng giống họ đây mà. Đập phá nhà máy của họ cuối cùng mất tiền là nước mình thôi vì nc mình vi phạm hợp đồng mà. Còn biểu tình gọi nhà nc phải có trách nhiệm tìm hiểu nguyên nhân thì đc.",báo bọn phản_động đấy bà_con những người kia bị kích_động muốn chung ta cũng kíchđộng giống họ đây mà đập phá nhà_máy của họ cuối_cùng mất tiền là nước mình thôi vì nc mình vi_phạm hợp_đồng mà_còn biểu_tình gọi nhà nc phải có trách_nhiệm tìm_hiểu nguyên_nhân thì được,48,0,CLEAN,2,2,2,0.9366,0.0557,0.0077,0.9366
Cái mỏ i chang cá lóc lun,cái mỏ i_chang cá_lóc lun,5,0,CLEAN,2,1,1,0.9906,0.0033,0.9906,0.0061
Thèm bún real vl :)),thèm bún_real vãi,3,0,CLEAN,1,1,1,0.5836,0.4106,0.5836,0.0058
Thật ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong cách mới cho nó đỡ quê,thật_ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong_cách mới cho nó đỡ quê,21,1,OFFENSIVE,0,0,0,0.9937,0.9937,0.0035,0.0029
