text,text_cleaned,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate
hang luc nao cung phai chuan nhu hom nay giao toi day nhe,hang luc nao cung_phai chuan nhu_hom nay giao toi day nhe,11,0,CLEAN,2,0,0,0.9958,0.9958,0.002,0.0022
set đồ để các vận động viên ăn tết sau vff quản lý tiền thưởng,set đồ để các vận_động_viên ăn tết sau vff quản_lý tiền thưởng,12,0,CLEAN,2,0,0,0.9959,0.9959,0.0019,0.0022
Sét đánh chết tao đi,sét đánh chết tao đi,5,0,CLEAN,1,1,0,0.9854,0.9854,0.0123,0.0023
Chị ba gia thế giàu chị ơi em khổ quá chị ba ơi giúp cho em đi chị Sài tiền mà tiệm vàng Sài không bằng chị,chị ba gia_thế giàu chị ơi em khổ quá chị ba ơi giúp cho em đi chị sài tiền mà tiệm vàng sài không bằng chị,26,0,CLEAN,2,2,0,0.9956,0.9956,0.0014,0.003
"Nhà Xa trường học, nhà gần cầu tiêu câu nói đã gắn sâu vào đầu tao :)))))",nhà xa trường_học nhà gần cầu tiêu_câu nói đã gắn sâu vào đầu tao,14,0,CLEAN,2,0,0,0.9959,0.9959,0.0019,0.0022
Éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,éo thích thì biến đi thọc con mắt_chóng cái tai lên xem làm ghì,14,1,OFFENSIVE,2,2,1,0.9916,0.0034,0.9916,0.005
bán hàng rẻ ko thơm lâu thì nói không thơm lâu . nói hàng fake . mắc j quảng bá làm như tốt lắm .,bán hàng rẻ không thơm_lâu thì nói không thơm_lâu nói hàng fake_mắc gì quảng_bá làm như tốt lắm,18,0,CLEAN,1,2,0,0.9798,0.9798,0.0177,0.0025
Nghèo khổ có nhau còn giàu thì sao nhỉ.,nghèo_khổ có nhau còn giàu thì sao nhỉ,8,0,CLEAN,2,1,0,0.9958,0.9958,0.0026,0.0016
Nhìn mặt bà này ...,nhìn mặt bà này,4,0,CLEAN,2,2,0,0.9907,0.9907,0.002,0.0073
Gấu Trắng n,gấu trắng n,3,0,CLEAN,1,0,0,0.9951,0.9951,0.0029,0.002
Con bé này nên xuống địa ngục quá tởm,con_bé này nên xuống địa_ngục quá tởm,7,2,HATE,1,1,2,0.9898,0.0054,0.0048,0.9898
Lờ ô lờ ôn lờ ôn lôn huyền CHIM:)),lờ ô_lờ ôn_lờ ôn_lôn huyền chim,6,0,CLEAN,1,2,0,0.8853,0.8853,0.0328,0.0819
Cái mặt con bò biểu cảm vãi haha.... đhs tự nhiên thèm thịt bò khô,cái mặt con bò biểu_cảm vãi vui_đhs tự_nhiên thèm thịt bò khô,12,1,OFFENSIVE,2,2,1,0.593,0.3981,0.593,0.0088
"Chắc mọi người viết Nhật thua trong thế chiến 2, ngàu xưa ta vẫn gọi là Nhật lùn theo đúng nghĩa đen. Nói hơi thô thiển thì đúng gọi là họ lấy giống tây để giúp nguồn gen dân họ tốt hơn, nên chắc chắc ko chỉ là vì chất lượng cuộc sống cao mà còn phải do chất lượng gen nữa mới đẩy tầm vóc lên dc",chắc mọi người viết nhật_thua trong thế_chiến 2 ngàu xưa ta vẫn gọi_là nhật_lùn theo đúng nghĩa_đen nói hơi thô_thiển thì đúng gọi_là họ lấy giống tây để giúp nguồn gen dân họ tốt hơn nên chắc chắc không_chỉ là vì chất_lượng cuộc_sống cao mà_còn phải do chất_lượng gen nữa mới đẩy tầm_vóc lên được,55,0,CLEAN,1,0,0,0.7963,0.7963,0.0575,0.1462
Nhức óc thật,nhức_óc thật,2,0,CLEAN,1,0,0,0.9549,0.9549,0.0423,0.0029
"Đéo hiểu ai là bố ai là con trong cái gia đình này , mệt vl đến từ sói gaming",đéo hiểu ai là bố ai là con trong cái gia_đình này mệt_vãi đến từ sói gaming,17,1,OFFENSIVE,2,2,1,0.9171,0.0515,0.9171,0.0314
Bỏ măy con điếm đấy đi là thông minh đấy,bỏ măy con điếm đấy đi là thông_minh đấy,9,2,HATE,1,1,2,0.9863,0.0046,0.0091,0.9863
Báo và chí,báo và chí,3,0,CLEAN,2,0,0,0.9842,0.9842,0.012,0.0038
Kinh đấy,kinh đấy,2,0,CLEAN,1,0,0,0.9711,0.9711,0.0242,0.0047
M à  t ko còn ngon ngữ nào mà chửi m nữa,mày à tao không còn ngon_ngữ nào mà chửi_mày nữa,10,0,CLEAN,1,0,0,0.9853,0.9853,0.0027,0.012
Nghệ sỹ Hài hải ngoại được nhiều bạn trẻ trong nước mếm mộ nhất,nghệ_sỹ hài_hải_ngoại được nhiều bạn trẻ trong nước mếm_mộ nhất,10,0,CLEAN,1,1,0,0.9947,0.9947,0.0021,0.0032
Ngoài mình kêu con này là cua xanh tên khác là cua chó bởi vì nó dữ lắm,ngoài mình kêu con này là cua xanh tên khác là cua chó bởi_vì nó dữ lắm,17,0,CLEAN,2,2,0,0.7173,0.7173,0.1412,0.1415
Sạo loxz quền của chị 3,sạo loxz quền của chị 3,6,2,HATE,0,0,2,0.9908,0.0042,0.005,0.9908
Du ma tu thg cho giu xe den thg suc vat chuyen hanh ly,du_ma tu_thg cho giu xe den thg suc vat chuyen hanh ly,12,2,HATE,0,2,2,0.9824,0.0129,0.0047,0.9824
Lương Văn Thắng gần 1tr lượt like là lượng dislike thì 3 chấm 🤷 đủ hiểu trình độ nhai nhạc của cậu đến đâu rồi 😌,lương văn_thắng gần 1 tr lượt like là lượng dislike thì 3 chấm đủ hiểu trình_độ nhai_nhạc của cậu đến đâu rồi,22,0,CLEAN,2,2,0,0.9933,0.9933,0.0021,0.0045
Đéo phải đá vs MC chả cười?,đéo phải đá vs mc chả cười,7,1,OFFENSIVE,2,1,1,0.9904,0.0061,0.9904,0.0035
Lên vl luôn,lên vãi luôn,3,0,CLEAN,1,1,0,0.6555,0.6555,0.3391,0.0055
hỏng khóa hay gì :vv,hỏng khóa hay gì vv,5,0,CLEAN,1,0,0,0.995,0.995,0.0031,0.0019
qua học trình độ chặt cây mà ko bị dân chửi của trung quốc.,qua học trình_độ chặt cây mà không bị dân_chửi của trung_quốc,11,0,CLEAN,2,0,0,0.5052,0.5052,0.2826,0.2122
"Thế là tự các ông suy ra chữ thiên đường, tự nhét chữ vào mồm chứ đảng ko nói đúng ko",thế là tự các ông suy ra chữ thiên_đường tự nhét chữ vào mồm chứ đảng không nói đúng không,20,2,HATE,1,2,2,0.946,0.0436,0.0104,0.946
Ráng sống diễn hài cho mấy con coi nhé bác TD,ráng sống diễn_hài cho mấy con coi nhé bác td,10,0,CLEAN,2,2,0,0.9797,0.9797,0.0041,0.0163
Nguyễn Thanh Trang bảo bọn bạn m đó chỉ là hoa thôi đi =)),nguyễn_thanh_trang bảo bọn bạn mày đó chỉ là hoa thôi đi,11,0,CLEAN,2,2,0,0.9964,0.9964,0.0017,0.0019
Bốc sư tất nhiên là xạo quá ròi tất nhiên là súng bắn không tói ông nhưng tất nhiên rằng corona tất nhiên là sẽ tới thăm viếng bốc sư tất nhiên,bốc_sư tất_nhiên là xạo quá rồi tất_nhiên là súng bắn không tói ông nhưng tất_nhiên rằng corona tất_nhiên là sẽ tới thăm_viếng bốc_sư tất_nhiên,24,2,HATE,0,0,2,0.9582,0.0372,0.0046,0.9582
"minh cung la viet kieu dai loan,minh qua day 23 nam roi ,nhung minh kg quen que huong dat to tien cua minh ,di dau cung kg bang que huong ,o dai loan kho lam,di lam moi co com an ,xing dung noi xau viet nam, viet nam la dat to tien la cha me cua minh",minh cung_la viet kieu dai_loan_minh qua day 23 nam roi nhung_minh không quen que huong dat to tien cua_minh di_dau cung không bang que huong o dai_loan kho_lam di_lam moi_co com_an xing_dung noi xau viet nam viet nam_la dat to tien_la cha me cua_minh,44,0,CLEAN,2,2,0,0.5523,0.5523,0.2411,0.2065
Co.hieu.oi.hoang.canh.con.kho.khan.qua.co.oi.giup.con.voi.co.oi.con.noi.thuc.su.la.nha.con.khong.co.gao.an.luon.do.co.oI.con.noi.thiet.la.nha.con.khong.biet.chung.nao.xap.nua.do.co.co.long.hao.tam.co.giup.con.voi.co.oI.co.hieu.oI.sdt.cua.con.ne.co.oI.0369546059.do.co.con.o.ap3xatanhoitrunghuyencaolanhtinhdongthap.do.co.con.noi.thiet.do.co.oI.giup.gium.con.voi.con.kho.wa.co.oI,co hieu oi hoang_canh con kho khan qua co_oi giup con voi co_oi con noi thuc_su la_nha con không co_gao an_luon do co_oi con noi thiet la_nha con không biet chung nao xap_nua do co_co long_hao tam_co_giup con voi co_oi co_hieu oi sdt cua con ne co_oi 0369546059 do co con o ap3xatanhoitrunghuyencaolanhtinhdongthap do co con noi thiet do co_oi giup gium con voi con kho quá co_oi,68,0,CLEAN,2,2,0,0.8514,0.8514,0.0111,0.1375
Cái đờ cờ mờ nhà a,cái đờ cờ mờ nhà anh,6,2,HATE,0,1,2,0.7208,0.0188,0.2604,0.7208
Ca sĩ cây atm,ca_sĩ cây atm,3,0,CLEAN,2,1,0,0.8971,0.8971,0.0388,0.0642
Nghe tên ad đã biết ad không phải dạng vừa rồi :3,nghe tên admin đã biết admin không phải dạng vừa_rồi 3,11,0,CLEAN,2,2,0,0.9928,0.9928,0.0014,0.0058
cái miệng rộng qua đẻ con ra còn lọt,cái miệng rộng qua đẻ con ra còn lọt,9,1,OFFENSIVE,2,2,1,0.989,0.0035,0.989,0.0075
"Clip cũ roi  lúc no ban hàng , chui khách hàng , quen miệng , lu nay lu kia ,  gio kho mà ai bo qua duoc",clip cũ roi lúc no_ban hàng chui khách_hàng quen miệng lu nay lu kia giờ kho mà ai bo qua được,21,0,CLEAN,2,2,0,0.5887,0.5887,0.3929,0.0184
R.I.P Anh thị bò dát vàng,rồi i p anh thị bò dát vàng,8,0,CLEAN,2,2,0,0.9844,0.9844,0.0023,0.0133
Thêm cái gì mà thêm. T đếch thèm qt đến vì chưa có thông báo nghĩ học 🙈,thêm cái gì mà thêm tao đếch thèm qt đến vì chưa có thông_báo nghĩ học,16,1,OFFENSIVE,0,0,1,0.899,0.0952,0.899,0.0058
Đạt Phạm dcu m đùa dai như tk bố m thế,đạt phạm dcu_mày đùa_dai như tk_bố mày thế,8,2,HATE,0,0,2,0.9907,0.0054,0.0039,0.9907
"Dân không có giàu nhé, chỉ nó nước mạnh thôi.",dân không có giàu nhé chỉ nó nước mạnh thôi,10,0,CLEAN,2,2,0,0.8152,0.8152,0.0568,0.128
"Công nghệ làm trụ cột điện nhé các bạn. Đẹp, rẻ nhưng đéo bền để thuận lợi cho việc kiếm chác. Đang rất khả thi và đã dc tiến hành thí điểm ở 1 số vùng. Nếu có ăn sẽ nhân rộng ra trên mọi địa bàn của cả nước =))",công_nghệ làm trụ_cột điện nhé các bạn đẹp rẻ nhưng đéo_bền để thuận_lợi cho việc kiếm_chác đang rất khả_thi và đã được tiến_hành thí_điểm ở 1 số vùng nếu có ăn sẽ nhân rộng ra trên mọi địa_bàn của cả nước,41,0,CLEAN,2,0,0,0.6296,0.6296,0.3472,0.0232
và để chế độ,và để chế_độ,3,0,CLEAN,2,0,0,0.9669,0.9669,0.0146,0.0185
Không giống ai,không giống ai,3,1,OFFENSIVE,0,0,1,0.542,0.4472,0.542,0.0108
;))) n đã mất công phạt . Thì phạt hẳn 100-200 rảnh đéo đâu phạt 10-20k làm gì mất công vl .,n đã mất_công_phạt thì phạt hẳn 100 200 rảnh_đéo đâu phạt 10 20 k làm gì mất_công_vãi,17,1,OFFENSIVE,0,0,1,0.9906,0.0059,0.9906,0.0035
đm ông điêu ít thôiii :))),đm ông điêu_ít thôii,4,2,HATE,1,1,2,0.99,0.0061,0.0039,0.99
Chị ba hot girl s lại có cây cơ 9 giữa 😥,chị ba hot_girl sao lại có cây cơ 9 giữa,10,0,CLEAN,2,0,0,0.9956,0.9956,0.0014,0.0031
"Tâm Nguyễn Bỏ mớ tiền ra thuê hẳn một cái máy bay riêng , đi 1 mình thì lây ai , lây cho con mẹ bạn à ? Thông tin trên google sợt là ra cũng đéo chịu tìm hiểu , vào đây chửi adua phong trào . \""Đạo đức rách\"" mà cứ ngồi đấy mà nói đạo lý .",tâm nguyễn_bỏ mớ tiền ra thuê hẳn một cái máy_bay riêng đi 1 mình thì lây ai lây cho con mẹ bạn à thông_tin trên google sợt là ra cũng đéo_chịu tìm_hiểu vào đây chửi_adua phong_trào đạo_đức rách mà cứ ngồi đấy mà nói đạo_lý,45,2,HATE,0,1,2,0.9873,0.007,0.0057,0.9873
"Chuyển qua insta thì hack bằng lol,bằng niềm tin",chuyển qua insta thì hack bằng lol bằng niềm tin,10,1,OFFENSIVE,2,1,1,0.9838,0.0113,0.9838,0.0049
"Lại là...nguy cơ bị nhiễn vô cùng thấp, chủ quan một cái là đi luôn",lại là nguy_cơ bị nhiễn vô_cùng thấp chủ_quan một cái là đi luôn,13,0,CLEAN,2,2,0,0.9903,0.9903,0.0067,0.003
có cái DB bố mày tin ấy,có cái db bố mày tin ấy,7,1,OFFENSIVE,0,0,1,0.9925,0.0038,0.9925,0.0037
Sốt là bị bệnh hả m.n,sốt là bị bệnh hả mày n,7,0,CLEAN,2,0,0,0.9959,0.9959,0.0016,0.0025
Dan lm kho dan.do ngu,dan lm kho dan do ngu,6,1,OFFENSIVE,2,0,1,0.9883,0.0031,0.9883,0.0086
Quang Hung Vu thấy mấy bạn du học sinh kêu trên Facebook là bên ý đéo đeo khầu trang.bị bệnh tự ở nhà cách li :))),quang hung_vu thấy mấy bạn du_học_sinh kêu trên facebook là bên ý đéo đeo khầu trang_bị bệnh tự ở nhà cách li,22,0,CLEAN,2,2,0,0.5386,0.5386,0.1591,0.3022
Style khoe cu của mấy anh biến thái à 🙃,style khoe cu của mấy anh biến_thái à,8,2,HATE,0,0,2,0.9815,0.0109,0.0076,0.9815
Đáng nhẽ m k nên về nước 🙂,đáng nhẽ mày không nên về nước,7,2,HATE,0,0,2,0.6381,0.3488,0.0131,0.6381
Ở Việt Nam! Nó là cái l đó,ở việt_nam nó là cái l đó,7,1,OFFENSIVE,0,1,1,0.8821,0.0056,0.8821,0.1123
Chắc do đi đái quên chưa kéo quần ngoài vội quá nên kệ mẹ thế đi ra 😞,chắc do đi đái_quên chưa kéo quần ngoài vội quá nên kệ mẹ thế đi ra,16,1,OFFENSIVE,0,0,1,0.9873,0.0087,0.9873,0.0039
Bn vào @TrầnĐoànOfficial nghe chửi minh khịa ko dám nói tên Minh Hiếu,bao_nhiêu vào trầnđoànofficial nghe chửi_minh_khịa không dám nói tên minh_hiếu,10,0,CLEAN,2,0,0,0.9896,0.9896,0.0044,0.006
vào r chứ sắp à,vào rồi chứ sắp à,5,0,CLEAN,1,1,0,0.9962,0.9962,0.0018,0.002
Bố m cũng đến chịu cách ăn mac khác người của nó !,bố mày cũng đến chịu cách ăn_mac khác người của nó,11,2,HATE,1,0,2,0.9709,0.018,0.0111,0.9709
Vẫn là chị nhung,vẫn là chị nhung,4,0,CLEAN,2,0,0,0.9953,0.9953,0.0016,0.0031
ngày còn nhỏ thi mong lớn thât nhanh đe ra khỏi vòng tay bố,ngày còn nhỏ thi_mong lớn thât nhanh đe ra khỏi vòng_tay bố,12,0,CLEAN,1,1,0,0.9956,0.9956,0.0017,0.0027
