text,text_cleaned,length,phobert_pred_name,phobert_conf,prob_clean,prob_off,prob_hate,lr_pred,bilstm_pred
Haizz. Nthe này thì dân khổ quá,haizz nthe này thì dân khổ quá,7,CLEAN,0.8971,0.8971,0.0939,0.009,1,0
coin card :3,coin card 3,3,CLEAN,0.9963,0.9963,0.0018,0.0019,0,0
Trần Linh dell hiểu kiểu gì :)),trần linh_dell hiểu kiểu gì,5,CLEAN,0.7685,0.7685,0.2051,0.0265,0,0
"K nói thì tự kiêu,nói thì lại tự ái chứ í thức thế ai mà chịu nổi😡",không nói thì tự kiêu nói thì lại tự_ái chứ í_thức thế ai mà chịu nổi,16,CLEAN,0.9385,0.9385,0.0568,0.0048,1,2
Một  phút  bóc  đồng  bằng  cả  đời  bóc  cức  😂,một phút bóc đồng_bằng cả đời bóc cức,8,CLEAN,0.9114,0.9114,0.0823,0.0063,2,0
Like 10 năm chất Liek bằng đầu bùi,like 10 năm chất liek bằng đầu bùi,8,CLEAN,0.9962,0.9962,0.0017,0.0022,0,0
Đậu rồi má hay đậu má rồi các bạn nhỏ ??? :))),đậu rồi má hay đậu má rồi các bạn nhỏ,10,CLEAN,0.9962,0.9962,0.0017,0.002,0,0
GAM thua cái củ cặc nhé !!,gam thua cái củ cặc nhé,6,HATE,0.9341,0.01,0.0559,0.9341,2,1
Nguc em hoi nho,nguc em_hoi nho,3,CLEAN,0.9967,0.9967,0.0015,0.0018,0,0
200.000 hộp thuốc giết người.,200 0 hộp thuốc giết người,6,CLEAN,0.987,0.987,0.0076,0.0054,0,0
hiếp tao,hiếp tao,2,CLEAN,0.9935,0.9935,0.0048,0.0018,1,0
Cay vl nhỉ kk,cay vãi nhỉ kk,4,CLEAN,0.8381,0.8381,0.1581,0.0038,1,1
Bao giờ chết,bao_giờ chết,2,CLEAN,0.9962,0.9962,0.002,0.0018,0,1
Thật ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong cách mới cho nó đỡ quê,thật_ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong_cách mới cho nó đỡ quê,21,CLEAN,0.9937,0.9937,0.0035,0.0029,0,0
"Lí do lí trấu, chắc tin😏:)))",lí_do lí_trấu chắc tin,4,CLEAN,0.996,0.996,0.0023,0.0017,0,0
Lắm tiền mà chả có nổi ý thức của loài người :)),lắm tiền mà chả có nổi ý_thức của loài_người,9,HATE,0.4943,0.0214,0.4843,0.4943,2,2
Tủnn Tủnn đú vcl =)),tủnn tủnn đú vãi,4,HATE,0.989,0.0051,0.0059,0.989,1,1
"Có ai tự nhiên lên phường , rồi đi tự tử trên ấy không ? Giờ thằng nào con nào , muốn tự tự thì cứ việc lên phường cho nó gọn . Đỡ bị mất tài sản , với lại người nhà cũng dễ tìm nhá . chứ đừng có ra cầu rồi nhảy nghe hôn .",có ai tự_nhiên lên phường rồi đi tự_tử trên ấy không giờ thằng nào con nào muốn tự tự thì cứ_việc lên phường cho nó gọn_đỡ bị mất tài_sản với_lại người_nhà cũng dễ tìm nhá chứ đừng có ra cầu rồi nhảy nghe hôn,44,CLEAN,0.9912,0.9912,0.0051,0.0037,0,2
Kg Phan dong may' chui vao trong nay lam gi ?,không phan_dong_may chui vao trong nay lam_gi,7,HATE,0.5482,0.1288,0.323,0.5482,0,0
"Nam Đặng đời nó là thế ,lồn mẹ dell thấy có cái lồn gì là vui cả",nam đặng_đời nó là thế lồn mẹ dell thấy có cái lồn gì là vui cả,16,HATE,0.9881,0.0051,0.0068,0.9881,2,2
Đẳng cấp đấy nhưng ý thức hơi kém,đẳng_cấp đấy nhưng ý_thức hơi kém,6,CLEAN,0.8763,0.8763,0.1146,0.0091,1,1
"Mikhai chốp còn biết nhảu khỏi tàu đắm,chứ bọn này đéo nhẩy đâu,ảo thuật gia và phim ở hollywood phải gọi bằng ""Cụ""🤣",mikhai chốp còn biết nhảu khỏi tàu đắm chứ bọn này đéo nhẩy đâu ảo_thuật_gia và phim ở hollywood phải gọi bằng cụ,23,HATE,0.9768,0.0179,0.0053,0.9768,2,2
"doanh nghiệp nó sai thì nó bị phạt, còn thằng này thích tống tiền doanh nghiệp thì nó cũng đéo đúng đâu mà gào mồm ăn vạ :)) tưởng ăn đc tiền của ngkhác dễ à",doanh_nghiệp nó sai thì nó bị phạt còn thằng này thích tống_tiền doanh_nghiệp thì nó cũng đéo đúng đâu mà gào mồm ăn_vạ tưởng ăn được tiền của ngkhác dễ à,31,HATE,0.9803,0.0119,0.0078,0.9803,2,2
Trên bờ: tao chửi đấy mày làm đéo gì được tao :v,trên bờ tao chửi đấy mày làm đéo gì được tao vậy,12,CLEAN,0.5986,0.5986,0.2954,0.106,1,1
@Chiến trần Tao lao.,chiến_trần tao lao,3,CLEAN,0.9956,0.9956,0.0019,0.0025,1,1
toàn các cô gái ngồi xổm trym quệt đất ạ..,toàn các cô gái ngồi_xổm trym quệt đất ạ,9,CLEAN,0.996,0.996,0.0016,0.0024,1,0
Hoàng Văn Thuận nên xử bắn hed,hoàng văn_thuận nên xử bắn hed,6,CLEAN,0.9897,0.9897,0.0025,0.0078,0,0
Khi buồn mình chơi lớn đi nghĩa vụ và giờ muốn ra cx éo đc,khi buồn mình chơi lớn đi nghĩa_vụ và giờ muốn ra cũng éo được,14,CLEAN,0.9715,0.9715,0.0251,0.0035,0,0
"Tìm chó thất lạc đặc điểm""cực kì thuyết phục""",tìm chó thất_lạc đặc_điểm cực_kì thuyết_phục,6,CLEAN,0.9967,0.9967,0.0016,0.0018,0,0
Con trai làm trưởng phòng kế toán nữa thì quả là một dân tộc Hạnh Fúck,con trai làm trưởng phòng kế_toán nữa thì quả là một dân_tộc hạnh fúck,14,CLEAN,0.885,0.885,0.0743,0.0407,0,0
mong cho nó trút moẹ tro vào quần !,mong cho nó trút moẹ tro vào quần,8,HATE,0.5329,0.2035,0.2637,0.5329,1,1
Quá đáng vl anh ơi ngồi nấu mì ăn xem review thịt trâu:((,quá đáng vãi anh ơi ngồi nấu mì ăn xem review thịt trâu,13,CLEAN,0.9964,0.9964,0.0017,0.0019,0,0
Phải treo cổ chúng nó lên thì may ra .....,phải treo_cổ chúng_nó lên thì may_ra,6,HATE,0.7941,0.146,0.0599,0.7941,2,1
Tsb 💩,tsb,1,CLEAN,0.9951,0.9951,0.0028,0.0022,0,0
Những kẻ cướp ngày đang bênh vực tên trộm đêm :),những kẻ_cướp ngày đang bênh_vực tên trộm đêm,8,CLEAN,0.9862,0.9862,0.0062,0.0076,0,0
