text,text_cleaned,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate
Haizz. Nthe này thì dân khổ quá,haizz nthe này thì dân khổ quá,7,1,OFFENSIVE,1,0,0,0.8971,0.8971,0.0939,0.009
(Y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,y_page này admin nó kiến_thức uyên_sâu lắm từ xây_dựng tài_chính y_tế cái gì n cũng am_hiểu ngu dốt nhiệt_tình phá_hoại không sai bh,23,2,HATE,2,2,0,0.9462,0.9462,0.0098,0.044
"K nói thì tự kiêu,nói thì lại tự ái chứ í thức thế ai mà chịu nổi😡",không nói thì tự kiêu nói thì lại tự_ái chứ í_thức thế ai mà chịu nổi,16,1,OFFENSIVE,1,2,0,0.9385,0.9385,0.0568,0.0048
Chán thực sự =))),chán thực_sự,2,0,CLEAN,0,0,1,0.9736,0.0225,0.9736,0.004
Mấy ông sống nhanh thế =))),mấy ông sống nhanh thế,5,0,CLEAN,0,0,2,0.9268,0.066,0.0071,0.9268
Theo trung cộng đi rồi đến lúc ko còn lợi dụng đc bà sẽ thấy cảnh. Hãy nhớ câu đừng nghe những gì cs nói mà..😂😂😂,theo trung_cộng đi rồi đến lúc không còn lợi_dụng được bà sẽ thấy cảnh hãy nhớ câu đừng nghe những gì có nói mà,24,2,HATE,2,0,0,0.8117,0.8117,0.0161,0.1722
Công an mà muốn xử lý thì 2 ông luật sư này sẽ biến mất ngay lập tức. Chứ chả phải bị đánh giữa đường rồi chụp ảnh máu me post lên mạng rầm rầm đâu,công_an mà muốn xử_lý thì 2 ông luật_sư này sẽ biến mất ngay_lập_tức chứ chả phải bị đánh giữa đường rồi chụp ảnh máu_me post lên mạng rầm_rầm đâu,29,0,CLEAN,0,2,2,0.6576,0.3197,0.0227,0.6576
Mông lung như 1 trò đùa,mông lung_như 1 trò đùa,5,0,CLEAN,0,0,1,0.9913,0.0047,0.9913,0.004
Hải Yến bố cái con thái lọ,hải_yến bố cái con_thái lọ,5,2,HATE,2,1,0,0.9773,0.9773,0.01,0.0127
khi bạn muốn tích đức cho đời nhưng nghiệp quá nặng tại chúng rủa quá nên nghiệp:v,khi bạn muốn tích_đức cho đời nhưng nghiệp quá nặng tại chúng_rủa quá nên_nghiệp vậy,15,0,CLEAN,0,2,2,0.8356,0.1248,0.0396,0.8356
Nữ sinh chạm tay vào má c.a thì đi tù. Rất VN...,nữ_sinh chạm tay vào má c anh thì đi tù rất vn,12,0,CLEAN,0,1,1,0.9281,0.0314,0.9281,0.0406
Trời má khúc này lúc xem phim t khóc quá trời mà thấy ảnh này cái hết muốn xem cmnl,trời má khúc này lúc xem phim tao khóc quá_trời mà thấy ảnh này cái hết muốn xem cmnl,19,0,CLEAN,0,0,1,0.5138,0.4813,0.5138,0.005
"Dân không có giàu nhé, chỉ nó nước mạnh thôi.",dân không có giàu nhé chỉ nó nước mạnh thôi,10,2,HATE,2,2,0,0.8152,0.8152,0.0568,0.128
CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,co thă ng thông tha_o 29 thư_tiê ng_la mày chu_ti ch pă c po,14,2,HATE,2,2,0,0.9385,0.9385,0.0166,0.0448
hiếp tao,hiếp tao,2,1,OFFENSIVE,1,0,0,0.9935,0.9935,0.0048,0.0018
Cay vl nhỉ kk,cay vãi nhỉ kk,4,1,OFFENSIVE,1,1,0,0.8381,0.8381,0.1581,0.0038
Con di do noi doc giong con 3 vang ma !,con di_do noi doc giong con 3 vang ma,9,2,HATE,2,0,0,0.3995,0.3995,0.374,0.2265
Diệp Bích ái Nguyễn Ái Băng coi Diệp nó láo cá nè Băng🤣🤣🤣,diệp bích_ái nguyễn_ái_băng coi diệp nó láo cá nè băng,10,0,CLEAN,0,0,2,0.9872,0.0093,0.0035,0.9872
Tiếu lâm thời đại 4.0,tiếu lâm_thời_đại 4 0,4,0,CLEAN,0,0,2,0.781,0.2049,0.0141,0.781
Tao thấy nhiễm covid này toàn bọn nhiều tiền và thích đi du lịch đấy..,tao thấy nhiễm covid này toàn bọn nhiều tiền và thích đi du_lịch đấy,14,2,HATE,2,1,0,0.9923,0.9923,0.0034,0.0043
"CS miệng và đít chúng là một chỗ. Một chế độ thổ tả không còn sửa sai được nữa, mà phải thay đổi với một chế độ khác. Sống với CS mà không biết gì về thủ đoạn của bọn chúng là không có cái đầu.",có miê ng va đi tao chu_ng la_mô tao chô mô tao chê_đô thô ta không co n_sư anh sai đươ c nư anh ma pha i thay đô i_vơ i mô tao chê_đô kha_c sô ng_vơ i có ma không biê tao gi vê thu đoa n cu anh bo_n chu_ng la không co_ca i đâ_u,57,2,HATE,2,2,0,0.7231,0.7231,0.0814,0.1955
"Mọi người quá lịch sự với tên khốn này rồi , cha đứa bé bị đánh nên ra tay cho nó thành tật đi đừng hi vọng nhiều ở luật pháp.",mọi người qua lịch_sư với tên khốn_này rồi cha đứa be bị đánh nên ra_tay cho nó thành tâ tao đi đừng hi_vọng nhiều ở luật pha p,28,2,HATE,2,2,0,0.893,0.893,0.0085,0.0985
"anh Trung đập thẻ , anh Trung phá sản :)))",anh trung_đập thẻ anh trung_phá sản,6,0,CLEAN,0,0,2,0.9595,0.0358,0.0047,0.9595
Thiên đường xhcn là cái gì mà sao từ trước đến h mình chưa đọc ở trang sách nào nhỉ,thiên_đường xhcn là cái gì mà sao từ trước đến giờ mình chưa đọc ở trang sách nào nhỉ,19,0,CLEAN,0,0,2,0.762,0.2112,0.0268,0.762
Tủnn Tủnn đú vcl =)),tủnn tủnn đú vãi,4,1,OFFENSIVE,1,1,2,0.989,0.0051,0.0059,0.989
Dem me minh ra lam tro cuoi   noi tuc tieu khg hay dau,dem me_minh ra lam tro cuoi noi tuc tieu không hay dau,12,0,CLEAN,0,1,1,0.567,0.4185,0.567,0.0146
Ma mày đau ma mày đau bóp cu ba may sung con cười muốn chết luôn co kim oi,ma mày đau ma mày đau bóp cu ba may_sung con cười muốn chết luôn co_kim oi,17,2,HATE,2,2,0,0.9711,0.9711,0.0112,0.0176
Anh tôi như khỉ đột vậy :)),anh tôi như khỉ đột_vậy,5,0,CLEAN,0,0,2,0.9374,0.0551,0.0075,0.9374
Gai tre,gai tre,2,0,CLEAN,0,0,1,0.9619,0.0311,0.9619,0.007
May bede ma rau thay on,may bede ma rau thay on,6,0,CLEAN,0,0,2,0.9858,0.0095,0.0047,0.9858
Đẳng cấp đấy nhưng ý thức hơi kém,đẳng_cấp đấy nhưng ý_thức hơi kém,6,1,OFFENSIVE,1,1,0,0.8763,0.8763,0.1146,0.0091
Đeo hiểu hai ngừoi phế nhất team thì sống 😀???,đeo hiểu hai ngừoi phế nhất team thì sống,9,0,CLEAN,0,0,2,0.6069,0.3612,0.0319,0.6069
Trên bờ: tao chửi đấy mày làm đéo gì được tao :v,trên bờ tao chửi đấy mày làm đéo gì được tao vậy,12,1,OFFENSIVE,1,1,0,0.5986,0.5986,0.2954,0.106
@Chiến trần Tao lao.,chiến_trần tao lao,3,1,OFFENSIVE,1,1,0,0.9956,0.9956,0.0019,0.0025
